Date,Title,Article,Sentiment,clean title,clean article,polarity,cong,bjp
2010-10-02,all you want to know about cwg opening ceremony ,"the grand openingwelcome songrendered by hariharan, the song will have indian classical dance performances by more.vip addressesall about the opening ceremony. click to enlarge.prime minister manmohan singh will be the first to address the congregation. the british queen's message will be read out by prince charles and after that the president of india will declare the games open.flag hoistingamidst tunes played by military bands, the cwg flag will be brought into the stadium and hoisted. immediately thereafter, the national anthem will be played.marchpastall the athletes participating in the games will then walk into the stadium. soon after, indian boxer vijender singh will bring the queen's baton into the stadium and beijing olympic gold medallist shooter abhinav bindra will take the oath on behalf of all the athletes.light & sound showthe show of lights and music starts with the first segment named 'tree of knowledge' which has artistes performing yoga amidst vedic mantras and music. this will be followed by a segment depicting the real india. the arena will get filled with people from every part of the country, dancing on cycles, ambassador cars and auto rickshaws. the aerostat will be used to reflect images of india. colourful puppets from rajasthan will hang out from it and dance to tunes from across india.grand finalethe high point of the opening will end with a.r. rahman singing 'jiyo utho bado jeeto', the theme song of the games.getting there1.how to reach nehru stadium.metro and dtc buses will give free rides to games ticket holders2. metro set to start the central secretariat-badarpur line on sunday. the nearest stations will be nehru stadium & jangpurapark & walk1. deta school ground, max mueller marg: 400 vehicles2. sister nivedita sarvodaya school ground, lodhi colony: 500 vehicles3. blind school ground: 220 vehicles4. dps mathura road ground: 400 vehiclespark & ride1.seating arrangementbhairon marg: 650 vehicles2. safdarjung airport: 2,500 vehicles3. central school ground in andrews ganj: 300 vehiclesfireworks20 australian pyrotechnic riggers from the same firm which staged the fireworks at the melbourne cwg opening ceremony, is expected to repeat their magicchopperscamera-fitted helicopters will cover the road races of the games. plans to have special choppers over the jawaharlal nehru stadium for the opening ceremony were scrappedthe big balloon (aerostat)--rs 40 crore has reportedly been spent on making the 80x40x12-metre blimp--30 metres is the height at which it will hover above the jawaharlal nehru stadium--20,000 cubic metres of helium has been pumped into the aerostat, which, put simply, is a giant balloonbesides providing a lighting effect - light fixtures with mirrors have been fixed on the balloon to emit a glow - spectators will also be treated to a feast of high-resolution visual clips, thanks to an attached screenthe aerostat will have a 360-projection, meaning every person in the stadium will have a clear view of the clippingsadvisoryreach venues well in advance at least 3 hours prioryou can carrystill camerasmobile phonesnewspaperswhat you can'tvideo camerastiffin/eatables (except baby food)handbags/briefcase/ladies handbags except of reasonable sizebackpackscigarette/bidichewing tobacco/gutkalaptopinflammable items",0.08723809523809525,want know cwg opening ceremony,"grand openingwelcome songrendered hariharan , song indian classical dance performances more.vip addressesall opening ceremony. click enlarge.prime minister manmohan singh first address congregation. british queen ' message read prince charles president india declare games open.flag hoistingamidst tunes played military bands , cwg flag brought stadium hoisted. immediately thereafter , national anthem played.marchpastall athletes participating games walk stadium. soon , indian boxer vijender singh bring queen ' baton stadium beijing olympic gold medallist shooter abhinav bindra take oath behalf athletes.light &amp; sound showthe show lights music starts first segment named ' tree knowledge ' artistes performing yoga amidst vedic mantras music. followed segment depicting real india. arena get filled people every part country , dancing cycles , ambassador cars auto rickshaws. aerostat used reflect images india. colourful puppets rajasthan hang dance tunes across india.grand finalethe high point opening end a.r. rahman singing ' jiyo utho bado jeeto ' , theme song games.getting there1.how reach nehru stadium.metro dtc buses give free rides games ticket holders2. metro set start central secretariat-badarpur line sunday. nearest stations nehru stadium &amp; jangpurapark &amp; walk1. deta school ground , max mueller marg : 400 vehicles2. sister nivedita sarvodaya school ground , lodhi colony : 500 vehicles3. blind school ground : 220 vehicles4. dps mathura road ground : 400 vehiclespark &amp; ride1.seating arrangementbhairon marg : 650 vehicles2. safdarjung airport : 2,500 vehicles3. central school ground andrews ganj : 300 vehiclesfireworks20 australian pyrotechnic riggers firm staged fireworks melbourne cwg opening ceremony , expected repeat magicchopperscamera-fitted helicopters cover road races games. plans special choppers jawaharlal nehru stadium opening ceremony scrappedthe big balloon ( aerostat ) -- rs 40 crore reportedly spent making 80x40x12-metre blimp -- 30 metres height hover jawaharlal nehru stadium -- 20,000 cubic metres helium pumped aerostat , , put simply , giant balloonbesides providing lighting effect - light fixtures mirrors fixed balloon emit glow - spectators also treated feast high-resolution visual clips , thanks attached screenthe aerostat 360-projection , meaning every person stadium clear view clippingsadvisoryreach venues well advance least 3 hours prioryou carrystill camerasmobile phonesnewspaperswhat ' tvideo camerastiffin/eatables ( except baby food ) handbags/briefcase/ladies handbags except reasonable sizebackpackscigarette/bidichewing tobacco/gutkalaptopinflammable items","{'bjp': 0, 'cong': 0}",0,0
2013-02-16,vvip chopper scam: headlines today reporter tracks down guido ralph haschke's house in italy,"""this is possibly the biggest story of your career,"" my editor told me on the evening of february 13.the centre of controversy is a rs 3,600 crore deal for 12 vvip agusta midland helicopters involving rs 272 crore in kickbacks and possibly big names of two countries india and italy - best buddies of corrupt dealings!how the plan was hatched, in guido haschke ralph's words ceo of the parent company finmeccanica giuseppe orsi is being interrogated in prison already. ""we want finmeccanica's response, politicians, lawyer, magistrate and most importantly the two middleman, who swung the deal, guido ralph haschke and ferdinand carlo valentino gerosa,"" i was told. no pressure at all indeed!on the morning of 14th february, i was in milan. going by my europe reporting experience, i felt politicians should not be a big problem.specially when the opposition party of italy has much to gain by raking up the issue. i was wrong. i was in for a big shock. from politicians to italian authorities and finmeccanica to lawyers no one was ready to talk.finmeccanica did not even bother to reply to my emails. forget about these, even ngos refused to comment. this is a story in which all have some stake or the other. those who do not have a stake won't speak out of fear.next day it was a trip to lugano, the den of heschke and gerosa. they were my focus now. if i get to them, i get the story. i had an address for both. first i went to where heschke was supposed to live.a beautiful, posh area of lugano. houses were on a narrow strip of road going uphill. i knocked at a door and a lady with a little boy peeped out. talking to people here is like playing dumb charades. it turns out that haschke used to live here two years back. she is her tenant and has met him but won't speak to us!i was disappointed. all the research on him led me to lugano. i kept looking and asking by going to local offices and directories. finally, i had a number thanks to our input team - number of deborah haschke, wife of guido ralph haschke.i spoke to her and she totally, completely and profusely refused an interview or a meeting. she insisted i speak to their lawyer. i tracked the lawyer, luca marcillini in lugano. the day was drawing and i had probably already lost him.i rushed to his office. and once again, he refused to speak to me or even come out. his assistant informed me that he does not comment on his cases! i was getting to feel depressed!on the agenda for next day was gerosa. i reached the address in lugano and took the help of my taxi driver to communicate. to my dismay, i realised i was not a good player of dumb charades!the two neighbours confirmed that a family by the name of gerosa lives in the block of flats. i buzzed and a man picked up. on being asked about gerosa he said, ""he is not here'"" and then quickly said,"" he does not live here.""that did not sit well with me. journalists are bloody minded! i buzzed again. this time a woman picked up and i asked for ferdinand carlo valentino gerosa. she was very dismissive and threatened me.though i did not find the man but i surely think there was something that does not sit well here. i had little time though, because by this time i had another address for haschke.i went there. and what an area it was! on the curls and twirls of the swiss mountains houses were perched up like birds! this is rich. this is affluent. in fact, more than affluent. something to be owned by people like haschke!my gut feeling said i will find something here. by this time, i was on my destination street. it was a private street. i did not know if my heart was beating faster or i was walking fast. i reached the house and there it was indeed, haschke written on the buzzer. click here to read the reporter's conversation with haschke son ",0.07185479028085735,vvip chopper scam : headlines today reporter tracks guido ralph haschke ' house italy,""" possibly biggest story career , "" editor told evening february 13.the centre controversy rs 3,600 crore deal 12 vvip agusta midland helicopters involving rs 272 crore kickbacks possibly big names two countries india italy - best buddies corrupt dealings ! plan hatched , guido haschke ralph ' words ceo parent company finmeccanica giuseppe orsi interrogated prison already. "" want finmeccanica ' response , politicians , lawyer , magistrate importantly two middleman , swung deal , guido ralph haschke ferdinand carlo valentino gerosa , "" told. pressure indeed ! morning 14th february , milan. going europe reporting experience , felt politicians big problem.specially opposition party italy much gain raking issue. wrong. big shock. politicians italian authorities finmeccanica lawyers one ready talk.finmeccanica even bother reply emails. forget , even ngos refused comment. story stake other. stake ' speak fear.next day trip lugano , den heschke gerosa. focus now. get , get story. address both. first went heschke supposed live.a beautiful , posh area lugano. houses narrow strip road going uphill. knocked door lady little boy peeped out. talking people like playing dumb charades. turns haschke used live two years back. tenant met ' speak us ! disappointed. research led lugano. kept looking asking going local offices directories. finally , number thanks input team - number deborah haschke , wife guido ralph haschke.i spoke totally , completely profusely refused interview meeting. insisted speak lawyer. tracked lawyer , luca marcillini lugano. day drawing probably already lost him.i rushed office. , refused speak even come out. assistant informed comment cases ! getting feel depressed ! agenda next day gerosa. reached address lugano took help taxi driver communicate. dismay , realised good player dumb charades ! two neighbours confirmed family name gerosa lives block flats. buzzed man picked up. asked gerosa said , "" ' "" quickly said , "" live here. "" sit well me. journalists bloody minded ! buzzed again. time woman picked asked ferdinand carlo valentino gerosa. dismissive threatened me.though find man surely think something sit well here. little time though , time another address haschke.i went there. area ! curls twirls swiss mountains houses perched like birds ! rich. affluent. fact , affluent. something owned people like haschke ! gut feeling said find something here. time , destination street. private street. know heart beating faster walking fast. reached house indeed , haschke written buzzer. click read reporter ' conversation haschke son","{'bjp': 0, 'cong': 0}",0,0
2013-02-18,"chopper scam: maze of documents put late ysr and his son-in-law in the dock, helped clinch the deal with agustawestland","tremors of the vvip helicopter scam rocking the nation for the last few days were in andhra pradesh as it brought into focus the family of former chief minister late y.s. rajasekhara reddy and his evangelist son-in-law anil kumar.carlo gerosa, the business partner of controversial arms agent guido haschke and a middleman in the multi-crore scam that helped agustawestland clinch the deal to sell 12 helicopters to indian air force, was associated with arbor charitable foundation india - a christian missionary and service organisation based at karunagiri of naidupet block in khammam district.sources said arbor began its full-fledged activities after the organisers got in touch with then chief minister ysr reddy in 2007. as the arbor charitable foundation india got registered with the ministry of corporate affairs in december 2007, the ysr government allotted about 2,000 acres of land to the foundation at a nominal cost to run its activities, which include community-based programmes, microfinance, water management and sanitation, housing and child welfare programmes.in march 2008, gerosa was appointed as director of the foundation in khammam. and within two months, the ysr government placed an order with agustawestland, italy, for purchase of the agusta-139 model helicopter at a cost of rs 63 crore, though a bell-430 chopper bought in june 1999 was already there for the cm.sources said it was because of gerosa's links with agustawestland that ysr had bought the latest helicopter and in return, his government had allotted land to the foundation in khammam. ""after ysr's death in september 2009 in a helicopter crash, ironically involving bell-430, gerosa went back to italy,"" sources said.there are allegations that ysr's son-in-law ""brother"" anil kumar has links with the foundation and it was only under the influence of anil kumar that ysr had promoted the foundation. ""we have evidence to prove the nexus between anil kumar and arbor charitable foundation and their links to the chopper scam. we will disclose them to the cbi and also raise it in parliament during the budget session,"" telugu desam party mps nama nageshwara rao and c.m. ramesh said.efforts to contact the arbor head office proved futile. anil kumar too could not be contacted for his clarification, but his close associate, kiriti, sought to deny the allegations. ""as far as i know, anil has nothing to do with arbor. the pastors' meeting held at khammam during 2009 elections was organised by us and not arbor foundation. may be there were pastors belonging to the foundation at the meeting,"" he said.",0.20333333333333334,"chopper scam : maze documents put late ysr son-in-law dock , helped clinch deal agustawestland","tremors vvip helicopter scam rocking nation last days andhra pradesh brought focus family former chief minister late y.s. rajasekhara reddy evangelist son-in-law anil kumar.carlo gerosa , business partner controversial arms agent guido haschke middleman multi-crore scam helped agustawestland clinch deal sell 12 helicopters indian air force , associated arbor charitable foundation india - christian missionary service organisation based karunagiri naidupet block khammam district.sources said arbor began full-fledged activities organisers got touch chief minister ysr reddy 2007. arbor charitable foundation india got registered ministry corporate affairs december 2007 , ysr government allotted 2,000 acres land foundation nominal cost run activities , include community-based programmes , microfinance , water management sanitation , housing child welfare programmes.in march 2008 , gerosa appointed director foundation khammam. within two months , ysr government placed order agustawestland , italy , purchase agusta-139 model helicopter cost rs 63 crore , though bell-430 chopper bought june 1999 already cm.sources said gerosa ' links agustawestland ysr bought latest helicopter return , government allotted land foundation khammam. "" ysr ' death september 2009 helicopter crash , ironically involving bell-430 , gerosa went back italy , "" sources said.there allegations ysr ' son-in-law "" brother "" anil kumar links foundation influence anil kumar ysr promoted foundation. "" evidence prove nexus anil kumar arbor charitable foundation links chopper scam. disclose cbi also raise parliament budget session , "" telugu desam party mps nama nageshwara rao c.m. ramesh said.efforts contact arbor head office proved futile. anil kumar could contacted clarification , close associate , kiriti , sought deny allegations. "" far know , anil nothing arbor. pastors ' meeting held khammam 2009 elections organised us arbor foundation. may pastors belonging foundation meeting , "" said .","{'bjp': 0, 'cong': 0}",0,0
2013-02-18,cbi initiates preliminary enquiry in chopper scam," the cbi has initiated a preliminary enquiry (pe) to probe the rs 3,600 crore agustawestland vvip helicopter deal . however, the agency is still not in possession of all crucial documents despite sending a team to italy.sources said the cbi is dependent on documents provided by the defence ministry and hopes to get all crucial papers and details from italy after a regular case is registered in the alleged scam.the agency, probing the role of the former air force chief s.p. tyagi in the scam in pushing the deal, is preparing to question him along with three of his cousins who are also under the scanner for influencing officials in return of kickbacks.according to sources, the agency received a fresh set of documents related to the deal on friday from the defence ministry. cbi sources said, not just the tyagis, but all suspects will be examined and questioned soon. they refused to provide details of the documents. the agency has initiated the pe against 11 people including former the iaf chief, his three cousins, european middlemen and four firm.during the pe, the agency's powers in summoning and carrying out searches are very limited. after completing the initial probe, the agency will be in a position to decide whether a formal fir should be filed.according to the pe, money was paid in the garb of engineering contracts to two indian firms - ids infotech and aeromatrix. the cbi said in the procurement process, some middlemen influenced the deal in favour of uk-based agustawestland. it is also alleged that the italian company paid commission of several millions euros to the middlemen who allegedly passed on a share to several indian nationals through tunisia and mauritius in the garb of engineering contracts with two indiabased companies, the pe said.",-0.005803571428571431,cbi initiates preliminary enquiry chopper scam,"cbi initiated preliminary enquiry ( pe ) probe rs 3,600 crore agustawestland vvip helicopter deal . however , agency still possession crucial documents despite sending team italy.sources said cbi dependent documents provided defence ministry hopes get crucial papers details italy regular case registered alleged scam.the agency , probing role former air force chief s.p. tyagi scam pushing deal , preparing question along three cousins also scanner influencing officials return kickbacks.according sources , agency received fresh set documents related deal friday defence ministry. cbi sources said , tyagis , suspects examined questioned soon. refused provide details documents. agency initiated pe 11 people including former iaf chief , three cousins , european middlemen four firm.during pe , agency ' powers summoning carrying searches limited. completing initial probe , agency position decide whether formal fir filed.according pe , money paid garb engineering contracts two indian firms - ids infotech aeromatrix. cbi said procurement process , middlemen influenced deal favour uk-based agustawestland. also alleged italian company paid commission several millions euros middlemen allegedly passed share several indian nationals tunisia mauritius garb engineering contracts two indiabased companies , pe said .","{'bjp': 0, 'cong': 0}",0,0
2013-02-18,cbi likely to grill former iaf chief sp tyagi in vip chopper scam," the cbi is preparing to question former air chief s.p. tyagi and his three cousins in the 3,600 crore agustawestland vvip helicopter deal. the agency is probing the role of the former air chief in the scam alleging that rs 362 crore was paid to indian officials to push for the deal.the agency received a fresh set of documents on friday from the defence ministry related to the deal. cbi sources say not just the tyagis but all the suspects will be examined and questioned.sources said the defence ministry has provided them with a new set of documents related to the deal but declined to give details.they said the agency had asked the defence ministry to provide files related to changes made in the helicopters' parameter which suited italian company finmeccanica and its subsidiary supplier agustawestland.the agency has registered a preliminary enquiry (pe) against 11 people including former iaf chief s.p. tyagi, his three cousins, european middlemen and four companies.",0.04363636363636363,cbi likely grill former iaf chief sp tyagi vip chopper scam,"cbi preparing question former air chief s.p. tyagi three cousins 3,600 crore agustawestland vvip helicopter deal. agency probing role former air chief scam alleging rs 362 crore paid indian officials push deal.the agency received fresh set documents friday defence ministry related deal. cbi sources say tyagis suspects examined questioned.sources said defence ministry provided new set documents related deal declined give details.they said agency asked defence ministry provide files related changes made helicopters ' parameter suited italian company finmeccanica subsidiary supplier agustawestland.the agency registered preliminary enquiry ( pe ) 11 people including former iaf chief s.p. tyagi , three cousins , european middlemen four companies .","{'bjp': 0, 'cong': 0}",0,0
2013-02-18,"bjp meets to strategise attack on upa govt over chopper scam, remarks by shinde and katju"," two days before the beginning of pariament's budget session, a meeting of the executive committee of bjp's parliamentary party was held at veteran leader l.k. advani's residence on tuesday.according to party sources, union home minister sushilkumar shinde's ""hindu terror"" remarks, controversial vip chopper deal and the recent statements of press council of india chief justice markandeya katju's remarks against party's senior leader arun jaitley and narendra modi topped the agenda for meeting.the issues to be raised by the party in parliament were discussed at large in the bjp meet. the meeting was on till the information last received.apart from advani, leaders of opposition in parliament -- sushma swaraj and jaitley -- yashwant sinha, jaswant singh, murli manohar joshi, venkaiah naidu, ravi shankar prasad, rajiv pratap rudy and shahnawaz hussain were also present in the meeting.the party was all set to corner the upa government on the latest scam that has come to the fore after action by italian investigators. it would also target shinde for his remark against the bjp and the rss during the congress's chintan baithak in jaipur last month.- with inputs from headlines today",0.13642857142857145,"bjp meets strategise attack upa govt chopper scam , remarks shinde katju","two days beginning pariament ' budget session , meeting executive committee bjp ' parliamentary party held veteran leader l.k. advani ' residence tuesday.according party sources , union home minister sushilkumar shinde ' "" hindu terror "" remarks , controversial vip chopper deal recent statements press council india chief justice markandeya katju ' remarks party ' senior leader arun jaitley narendra modi topped agenda meeting.the issues raised party parliament discussed large bjp meet. meeting till information last received.apart advani , leaders opposition parliament -- sushma swaraj jaitley -- yashwant sinha , jaswant singh , murli manohar joshi , venkaiah naidu , ravi shankar prasad , rajiv pratap rudy shahnawaz hussain also present meeting.the party set corner upa government latest scam come fore action italian investigators. would also target shinde remark bjp rss congress ' chintan baithak jaipur last month.- inputs headlines today","{'bjp': 3, 'cong': 1}",1,3
2013-02-19,"chopper scam: maze of documents put late ysr and his son-in-law in the dock, helped clinch the deal with agustawestland","tremors of the vvip helicopter scam rocking the nation for the last few days were in andhra pradesh as it brought into focus the family of former chief minister late y.s. rajasekhara reddy and his evangelist son-in-law anil kumar.carlo gerosa, the business partner of controversial arms agent guido haschke and a middleman in the multi-crore scam that helped agustawestland clinch the deal to sell 12 helicopters to indian air force, was associated with arbor charitable foundation india - a christian missionary and service organisation based at karunagiri of naidupet block in khammam district.sources said arbor began its full-fledged activities after the organisers got in touch with then chief minister ysr reddy in 2007. as the arbor charitable foundation india got registered with the ministry of corporate affairs in december 2007, the ysr government allotted about 2,000 acres of land to the foundation at a nominal cost to run its activities, which include community-based programmes, microfinance, water management and sanitation, housing and child welfare programmes.in march 2008, gerosa was appointed as director of the foundation in khammam. and within two months, the ysr government placed an order with agustawestland, italy, for purchase of the agusta-139 model helicopter at a cost of rs 63 crore, though a bell-430 chopper bought in june 1999 was already there for the cm.sources said it was because of gerosa's links with agustawestland that ysr had bought the latest helicopter and in return, his government had allotted land to the foundation in khammam. ""after ysr's death in september 2009 in a helicopter crash, ironically involving bell-430, gerosa went back to italy,"" sources said.there are allegations that ysr's son-in-law ""brother"" anil kumar has links with the foundation and it was only under the influence of anil kumar that ysr had promoted the foundation. ""we have evidence to prove the nexus between anil kumar and arbor charitable foundation and their links to the chopper scam. we will disclose them to the cbi and also raise it in parliament during the budget session,"" telugu desam party mps nama nageshwara rao and c.m. ramesh said.efforts to contact the arbor head office proved futile. anil kumar too could not be contacted for his clarification, but his close associate, kiriti, sought to deny the allegations. ""as far as i know, anil has nothing to do with arbor. the pastors' meeting held at khammam during 2009 elections was organised by us and not arbor foundation. may be there were pastors belonging to the foundation at the meeting,"" he said.",0.20333333333333334,"chopper scam : maze documents put late ysr son-in-law dock , helped clinch deal agustawestland","tremors vvip helicopter scam rocking nation last days andhra pradesh brought focus family former chief minister late y.s. rajasekhara reddy evangelist son-in-law anil kumar.carlo gerosa , business partner controversial arms agent guido haschke middleman multi-crore scam helped agustawestland clinch deal sell 12 helicopters indian air force , associated arbor charitable foundation india - christian missionary service organisation based karunagiri naidupet block khammam district.sources said arbor began full-fledged activities organisers got touch chief minister ysr reddy 2007. arbor charitable foundation india got registered ministry corporate affairs december 2007 , ysr government allotted 2,000 acres land foundation nominal cost run activities , include community-based programmes , microfinance , water management sanitation , housing child welfare programmes.in march 2008 , gerosa appointed director foundation khammam. within two months , ysr government placed order agustawestland , italy , purchase agusta-139 model helicopter cost rs 63 crore , though bell-430 chopper bought june 1999 already cm.sources said gerosa ' links agustawestland ysr bought latest helicopter return , government allotted land foundation khammam. "" ysr ' death september 2009 helicopter crash , ironically involving bell-430 , gerosa went back italy , "" sources said.there allegations ysr ' son-in-law "" brother "" anil kumar links foundation influence anil kumar ysr promoted foundation. "" evidence prove nexus anil kumar arbor charitable foundation links chopper scam. disclose cbi also raise parliament budget session , "" telugu desam party mps nama nageshwara rao c.m. ramesh said.efforts contact arbor head office proved futile. anil kumar could contacted clarification , close associate , kiriti , sought deny allegations. "" far know , anil nothing arbor. pastors ' meeting held khammam 2009 elections organised us arbor foundation. may pastors belonging foundation meeting , "" said .","{'bjp': 0, 'cong': 0}",0,0
2013-02-19,cbi initiates preliminary enquiry in chopper scam," the cbi has initiated a preliminary enquiry (pe) to probe the rs 3,600 crore agustawestland vvip helicopter deal . however, the agency is still not in possession of all crucial documents despite sending a team to italy.sources said the cbi is dependent on documents provided by the defence ministry and hopes to get all crucial papers and details from italy after a regular case is registered in the alleged scam.the agency, probing the role of the former air force chief s.p. tyagi in the scam in pushing the deal, is preparing to question him along with three of his cousins who are also under the scanner for influencing officials in return of kickbacks.according to sources, the agency received a fresh set of documents related to the deal on friday from the defence ministry. cbi sources said, not just the tyagis, but all suspects will be examined and questioned soon. they refused to provide details of the documents. the agency has initiated the pe against 11 people including former the iaf chief, his three cousins, european middlemen and four firm.during the pe, the agency's powers in summoning and carrying out searches are very limited. after completing the initial probe, the agency will be in a position to decide whether a formal fir should be filed.according to the pe, money was paid in the garb of engineering contracts to two indian firms - ids infotech and aeromatrix. the cbi said in the procurement process, some middlemen influenced the deal in favour of uk-based agustawestland. it is also alleged that the italian company paid commission of several millions euros to the middlemen who allegedly passed on a share to several indian nationals through tunisia and mauritius in the garb of engineering contracts with two indiabased companies, the pe said.",-0.005803571428571431,cbi initiates preliminary enquiry chopper scam,"cbi initiated preliminary enquiry ( pe ) probe rs 3,600 crore agustawestland vvip helicopter deal . however , agency still possession crucial documents despite sending team italy.sources said cbi dependent documents provided defence ministry hopes get crucial papers details italy regular case registered alleged scam.the agency , probing role former air force chief s.p. tyagi scam pushing deal , preparing question along three cousins also scanner influencing officials return kickbacks.according sources , agency received fresh set documents related deal friday defence ministry. cbi sources said , tyagis , suspects examined questioned soon. refused provide details documents. agency initiated pe 11 people including former iaf chief , three cousins , european middlemen four firm.during pe , agency ' powers summoning carrying searches limited. completing initial probe , agency position decide whether formal fir filed.according pe , money paid garb engineering contracts two indian firms - ids infotech aeromatrix. cbi said procurement process , middlemen influenced deal favour uk-based agustawestland. also alleged italian company paid commission several millions euros middlemen allegedly passed share several indian nationals tunisia mauritius garb engineering contracts two indiabased companies , pe said .","{'bjp': 0, 'cong': 0}",0,0
2013-02-19,cbi likely to grill former iaf chief sp tyagi in vip chopper scam," the cbi is preparing to question former air chief s.p. tyagi and his three cousins in the 3,600 crore agustawestland vvip helicopter deal. the agency is probing the role of the former air chief in the scam alleging that rs 362 crore was paid to indian officials to push for the deal.the agency received a fresh set of documents on friday from the defence ministry related to the deal. cbi sources say not just the tyagis but all the suspects will be examined and questioned.sources said the defence ministry has provided them with a new set of documents related to the deal but declined to give details.they said the agency had asked the defence ministry to provide files related to changes made in the helicopters' parameter which suited italian company finmeccanica and its subsidiary supplier agustawestland.the agency has registered a preliminary enquiry (pe) against 11 people including former iaf chief s.p. tyagi, his three cousins, european middlemen and four companies.",0.04363636363636363,cbi likely grill former iaf chief sp tyagi vip chopper scam,"cbi preparing question former air chief s.p. tyagi three cousins 3,600 crore agustawestland vvip helicopter deal. agency probing role former air chief scam alleging rs 362 crore paid indian officials push deal.the agency received fresh set documents friday defence ministry related deal. cbi sources say tyagis suspects examined questioned.sources said defence ministry provided new set documents related deal declined give details.they said agency asked defence ministry provide files related changes made helicopters ' parameter suited italian company finmeccanica subsidiary supplier agustawestland.the agency registered preliminary enquiry ( pe ) 11 people including former iaf chief s.p. tyagi , three cousins , european middlemen four companies .","{'bjp': 0, 'cong': 0}",0,0
2013-02-19,"bjp meets to strategise attack on upa govt over chopper scam, remarks by shinde and katju"," two days before the beginning of pariament's budget session, a meeting of the executive committee of bjp's parliamentary party was held at veteran leader l.k. advani's residence on tuesday.according to party sources, union home minister sushilkumar shinde's ""hindu terror"" remarks, controversial vip chopper deal and the recent statements of press council of india chief justice markandeya katju's remarks against party's senior leader arun jaitley and narendra modi topped the agenda for meeting.the issues to be raised by the party in parliament were discussed at large in the bjp meet. the meeting was on till the information last received.apart from advani, leaders of opposition in parliament -- sushma swaraj and jaitley -- yashwant sinha, jaswant singh, murli manohar joshi, venkaiah naidu, ravi shankar prasad, rajiv pratap rudy and shahnawaz hussain were also present in the meeting.the party was all set to corner the upa government on the latest scam that has come to the fore after action by italian investigators. it would also target shinde for his remark against the bjp and the rss during the congress's chintan baithak in jaipur last month.- with inputs from headlines today",0.13642857142857145,"bjp meets strategise attack upa govt chopper scam , remarks shinde katju","two days beginning pariament ' budget session , meeting executive committee bjp ' parliamentary party held veteran leader l.k. advani ' residence tuesday.according party sources , union home minister sushilkumar shinde ' "" hindu terror "" remarks , controversial vip chopper deal recent statements press council india chief justice markandeya katju ' remarks party ' senior leader arun jaitley narendra modi topped agenda meeting.the issues raised party parliament discussed large bjp meet. meeting till information last received.apart advani , leaders opposition parliament -- sushma swaraj jaitley -- yashwant sinha , jaswant singh , murli manohar joshi , venkaiah naidu , ravi shankar prasad , rajiv pratap rudy shahnawaz hussain also present meeting.the party set corner upa government latest scam come fore action italian investigators. would also target shinde remark bjp rss congress ' chintan baithak jaipur last month.- inputs headlines today","{'bjp': 3, 'cong': 1}",1,3
